RowNr	L1ReqId	Text	ComplianceType	ComplianceStatement	L2ReqId	L2ReqText
61	SKA1-SYS_REQ-2309	"Alarm notification shall be active (via SMS, email, etc.) rather than passive (requiring an Operator query)."	Derived to L2	Yes	TM_REQ_11	"The TM shall report Alarms received from externally connected Elements (as well as those internally detected by its own monitoring system) to a pre-configured user set without requiring a user to query the system for any Alarms.
"
372	SKA1-SYS_REQ-3134	"Schedule blocks which have been assigned override status shall, when triggered, interrupt current observations and signal/data processing, as necessary, to enable the override observations to commence."	Derived to L2	Yes	TM_REQ_110	"The TM, when receiving a TOO trigger, shall be able to cancel execution of the currently executing Scheduling Block in order to execute a Scheduling Block triggered by a TOO, if all of the following conditions are met:
1. The Scheduling Block triggered by the TOO has ""override"" priority (an appropriate level of priority higher than the currently executing Scheduling Block, i.e. the event is deemed of such an high importance that it has to execute immediately).
2. The currently executing Scheduling Block and the Scheduling Block triggered by the TOO trigger contest for the same resources."
398	SKA1-SYS_REQ-3168	"The SKA1_Mid and SKA1_Low shall ?dynamically adapt the schedule in response to any sanctioned ToO, VOEvents, or other approved triggers or overrides. The associated Scheduling Block shall enter the schedule according to the trigger's priority."	Derived to L2	Yes	TM_REQ_110	"The TM, when receiving a TOO trigger, shall be able to cancel execution of the currently executing Scheduling Block in order to execute a Scheduling Block triggered by a TOO, if all of the following conditions are met:
1. The Scheduling Block triggered by the TOO has ""override"" priority (an appropriate level of priority higher than the currently executing Scheduling Block, i.e. the event is deemed of such an high importance that it has to execute immediately).
2. The currently executing Scheduling Block and the Scheduling Block triggered by the TOO trigger contest for the same resources.
"
55	SKA1-SYS_REQ-2303	"There shall be a single geometric model for all receptor types, published by TM."	Derived to L2	Yes	TM_REQ_111	"The SKA1_Mid TM shall, for each Dish instance, convert astronomical source positions in iCRS coordinates to pointing coordinates in the Dish Coordinate Reference Frame [RD54]."
56	SKA1-SYS_REQ-2304	"The SKA1_Mid shall provide a dish pointing model that translates a pointing centre in ICRS coordinates at a given time to a mount orientation for a given dish. This will take into account astrometric effects, as well as location, and reference pointings. The pointing system at each dish shall include a model for pointing including structural model, thermal model, reference pointing model, gravitational model, and refraction model, published by TM."	Derived to L2	Yes	TM_REQ_111	"The SKA1_Mid TM shall, for each Dish instance, convert astronomical source positions in iCRS coordinates to pointing coordinates in the Dish Coordinate Reference Frame [RD54].
"
56	SKA1-SYS_REQ-2304	"The SKA1_Mid shall provide a dish pointing model that translates a pointing centre in ICRS coordinates at a given time to a mount orientation for a given dish. This will take into account astrometric effects, as well as location, and reference pointings. The pointing system at each dish shall include a model for pointing including structural model, thermal model, reference pointing model, gravitational model, and refraction model, published by TM."	Derived to L2	Yes	TM_REQ_112	"The TM shall apply pointing corrections to pointing coordinates to mitigate pointing errors due to earth orientation parameters.
"
71	SKA1-SYS_REQ-2328	"The SKA1_Low and SKA1_Mid, when commanded, shall solve for and correct pointing errors as a function of both time and dish/station, with accuracy and timescale limited by signal to noise ratio."	Derived to L2	Yes	TM_REQ_112	"The TM shall apply pointing corrections to pointing coordinates to mitigate pointing errors due to earth orientation parameters.
"
56	SKA1-SYS_REQ-2304	"The SKA1_Mid shall provide a dish pointing model that translates a pointing centre in ICRS coordinates at a given time to a mount orientation for a given dish. This will take into account astrometric effects, as well as location, and reference pointings. The pointing system at each dish shall include a model for pointing including structural model, thermal model, reference pointing model, gravitational model, and refraction model, published by TM."	Derived to L2	Yes	TM_REQ_113	"The TM shall apply pointing corrections to pointing coordinates to mitigate pointing errors due to refraction in the atmosphere.
"
71	SKA1-SYS_REQ-2328	"The SKA1_Low and SKA1_Mid, when commanded, shall solve for and correct pointing errors as a function of both time and dish/station, with accuracy and timescale limited by signal to noise ratio."	Derived to L2	Yes	TM_REQ_113	The TM shall apply pointing corrections to pointing coordinates to mitigate pointing errors due to refraction in the atmosphere.
14	SKA1-SYS_REQ-2170	The SKA1_Mid shall operate at all elevations greater than 15 degrees.	Derived to L2	Yes	TM_REQ_114	"The SKA1_MID TM shall send time stamped desired pointing coordinates to the Dish in accordance with [RD6] and within a single Scheduling Block observing.
"
15	SKA1-SYS_REQ-2171	"The SKA1_Mid shall have a continuous useable azimuth observation range from -270° to +270°, inclusive measured relative to true North defined as 0° and with East defined as +90°"	Derived to L2	Yes	TM_REQ_114	"The SKA1_MID TM shall send time stamped desired pointing coordinates to the Dish in accordance with [RD6] and within a single Scheduling Block observing.
"
217	SKA1-SYS_REQ-2852	"SKA1_Mid, when commanded, shall change the pointing, centre frequency, and bandwidth of each VLBI tied-array beam independently, on scan boundaries."	Derived to L2	Yes	TM_REQ_114	"The SKA1_MID TM shall send time stamped desired pointing coordinates to the Dish in accordance with [RD6] and within a single Scheduling Block observing.
"
433	SKA1-SYS_REQ-3215	"While tracking, SKA1_Mid receptor elevation motion range shall be within 15 to 85 degrees."	Derived to L2	Yes	TM_REQ_114	The SKA1_MID TM shall send time stamped desired pointing coordinates to the Dish in accordance with [RD6] and within a single Scheduling Block observing.
524	SKA1-SYS_REQ-3477	"SKA1_Mid, when commanded, shall form multiple Pulsar Search beams at the same sky coordinates, within a single subarray."	Derived to L2	Yes	TM_REQ_114	The SKA1_MID TM shall send time stamped desired pointing coordinates to the Dish in accordance with [RD6] and within a single Scheduling Block observing.
14	SKA1-SYS_REQ-2170	The SKA1_Mid shall operate at all elevations greater than 15 degrees.	Derived to L2	Yes	TM_REQ_115	The SKA1_MID TM shall send time stamped desired pointing coordinates to the MeerKAT Dish LMC in accordance with[RD8] and within a single Scheduling Block observing.
15	SKA1-SYS_REQ-2171	"The SKA1_Mid shall have a continuous useable azimuth observation range from -270° to +270°, inclusive measured relative to true North defined as 0° and with East defined as +90°"	Derived to L2	Yes	TM_REQ_115	"The SKA1_MID TM shall send time stamped desired pointing coordinates to the MeerKAT Dish LMC in accordance with[RD8] and within a single Scheduling Block observing.
"
217	SKA1-SYS_REQ-2852	"SKA1_Mid, when commanded, shall change the pointing, centre frequency, and bandwidth of each VLBI tied-array beam independently, on scan boundaries."	Derived to L2	Yes	TM_REQ_115	"The SKA1_MID TM shall send time stamped desired pointing coordinates to the MeerKAT Dish LMC in accordance with[RD8] and within a single Scheduling Block observing.
"
524	SKA1-SYS_REQ-3477	"SKA1_Mid, when commanded, shall form multiple Pulsar Search beams at the same sky coordinates, within a single subarray."	Derived to L2	Yes	TM_REQ_115	"The SKA1_MID TM shall send time stamped desired pointing coordinates to the MeerKAT Dish LMC in accordance with[RD8] and within a single Scheduling Block observing.
"
57	SKA1-SYS_REQ-2305	"The SKA1_Low shall provide a beam pointing model that translates a pointing centre in ICRS coordinates at a given time to a beam orientation in azimuth and elevation for a given beam, together with half-power bandwidth for the beam, and other beam metrics. This model shall take into account astrometric effects, as well as location, and reference pointings. The pointing system for each beam shall include a model for pointing including antenna element model, thermal model, reference pointing model, gravitational model, polarisation effects, and refraction model, published by TM.


  "	Derived to L2	Yes	TM_REQ_117	"The SKA1_LOW TM shall send time stamped desired Logical Station Beam pointing coordinates to the LFAA in accordance with [RD7] and within a single Scheduling Block observing.
"
218	SKA1-SYS_REQ-2853	"SKA1_Mid, when commanded, shall provide, through configuration, 1, 2, 3, or 4 separate VLBI specific beams, each with independently selectable centre frequency, bandwidth, frequency resolution and pointing."	Derived to L2	Yes	TM_REQ_117	"The SKA1_LOW TM shall send time stamped desired Logical Station Beam pointing coordinates to the LFAA in accordance with [RD7] and within a single Scheduling Block observing.
"
314	SKA1-SYS_REQ-3040	"SKA1_Low, when forming station beams, shall steer them independently in both azimuth and elevation to an accuracy of better than 1/1000 of the half power beam width."	Derived to L2	Yes	TM_REQ_117	The SKA1_LOW TM shall send time stamped desired Logical Station Beam pointing coordinates to the LFAA in accordance with [RD7] and within a single Scheduling Block observing.
315	SKA1-SYS_REQ-3041	"SKA1_Low, when commanded, shall form multiple station beams that have bandwidths independent of each other (where independence allows identical, overlapping or non-overlapping). The independence allows each of one of the 8 beams to have non-contiguous bandwidth and divergent pointing"	Derived to L2	Yes	TM_REQ_117	The SKA1_LOW TM shall send time stamped desired Logical Station Beam pointing coordinates to the LFAA in accordance with [RD7] and within a single Scheduling Block observing.
513	SKA1-SYS_REQ-3407	The SKA1_Low station shall operate at all possible azimuth and elevation angles.	Derived to L2	Yes	TM_REQ_117	The SKA1_LOW TM shall send time stamped desired Logical Station Beam pointing coordinates to the LFAA in accordance with [RD7] and within a single Scheduling Block observing.
523	SKA1-SYS_REQ-3476	"SKA1_Low, when commanded, shall form multiple Pulsar Search beams at the same sky coordinates, within a single subarray."	Derived to L2	Yes	TM_REQ_117	The SKA1_LOW TM shall send time stamped desired Logical Station Beam pointing coordinates to the LFAA in accordance with [RD7] and within a single Scheduling Block observing.
61	SKA1-SYS_REQ-2309	"Alarm notification shall be active (via SMS, email, etc.) rather than passive (requiring an Operator query)."	Derived to L2	Yes	TM_REQ_12	"The TM shall report System Wide Alarms based on conditional data received from externally connected Elements to a pre-configured user set without requiring a user to query the system for any Alarm. (in other words, the Alarm report shall be pushed and not pulled from the system)
"
18	SKA1-SYS_REQ-2179	Each Receptor of SKA1_Mid shall produce data from at most a single frequency band at any one time.	Derived to L2	Yes	TM_REQ_122	"The SKA1_Mid TM shall send commands to set or change the observing frequency band of a Sub-array, within 1 second (from time command is read till send at output) and within a single Scheduling Block observing, to the following Elements:
1. SKA1_Mid DSH
2. SKA1_Mid CSP
3. SKA1_Mid SDP TBC28"
39	SKA1-SYS_REQ-2224	"The SKA1_Mid, when commanded, shall change from observing in any frequency band, to observing in any other frequency band in:


 
	 Less than 10 s from any band to band 5 
	 Less than 20s between all other bands"	Derived to L2	Yes	TM_REQ_122	"The SKA1_Mid TM shall send commands to set or change the observing frequency band of a Sub-array, within 1 second (from time command is read till send at output) and within a single Scheduling Block observing, to the following Elements:
1. SKA1_Mid DSH
2. SKA1_Mid CSP
3. SKA1_Mid SDP TBC28
"
104	SKA1-SYS_REQ-2482	"SKA1_Low, SKA1_Mid and SKA1_Common shall control on a per user basis which facilities and resources (both hardware and software) may be accessed by the user (as per EN 50600-2-5 (Data centre facilities and infrastructures. Part 2-5. Security systems."	Derived to L2	Yes	TM_REQ_124	"The TM shall allow only authorised pre-authenticated requests from registered Users to perform the following functions:
1. observation scheduling,
2. Telescope control (including observation execution),
3. administration of Alarms,
4. configuring the TM.
 
Note: The TM will perform the authorisation function on requests by users that have been authenticated by the A&A System.
"
61	SKA1-SYS_REQ-2309	"Alarm notification shall be active (via SMS, email, etc.) rather than passive (requiring an Operator query)."	Derived to L2	Yes	TM_REQ_13	"The TM, shall report Alarms by the following means:
1. emit a sound of TBD18 frequency, TBD18 duty cycle and TBD18 intensity,
2. send an e-mail message to a list of configurable addresses via a mail server,
3. send an SMS message to a list of configurable phone numbers via an SMS gateway.
4. visually, as an Alarm summary display.
 
The alerting method shall be configurable per Alarm attributes.
"
206	SKA1-SYS_REQ-2833	The SKA1_Mid shall incorporate the 64 MeerKAT receptors  so that each one individually may be treated as functionally equivalent to the SKA1_Mid dishes.	Derived to L2	Yes	TM_REQ_132	"The SKA1_Mid TM shall monitor and control both SKA1_Mid Dishes and MeerKAT Dishes.
"
76	SKA1-SYS_REQ-2402	The total steady state power budget for the African site shall be within the limits specified in SKA Power Budget SKA-SE-POW-TN-001 [R8].	Derived to L2	Yes	TM_REQ_133	The TM steady state power consumption in the Karoo Radio Astronomy Reserve for the SKA1_mid shall be limited to maximum of 20kW TBC30.
77	SKA1-SYS_REQ-2404	The total steady state power budget for the Australian site shall be within the limits specified in SKA Power Budget SKA-SE-POW-TN-001 [R8].	Derived to L2	Yes	TM_REQ_137	The TM steady state power consumption in the Murchison Radio Observatory for the SKA1_low shall be limited to maximum of 20kW TBC30.
4	SKA1-SYS_REQ-2142	The SKA1_Low shall be composed of 512 stations.	Derived to L2	Yes	TM_REQ_14	"The TM shall monitor a maximum of 550 TBC40 'element monitoring interfaces' (defined as any independent external interface to the TM that may act as a source of an event) for the possibility of events.
Rationale: For the reason for making the maximum number of monitoring interfaces equals to 550, refer to [RD26], par. 8.2.5.
"
206	SKA1-SYS_REQ-2833	The SKA1_Mid shall incorporate the 64 MeerKAT receptors  so that each one individually may be treated as functionally equivalent to the SKA1_Mid dishes.	Derived to L2	Yes	TM_REQ_14	"The TM shall monitor a maximum of 550 TBC40 'element monitoring interfaces' (defined as any independent external interface to the TM that may act as a source of an event) for the possibility of events.
Rationale: For the reason for making the maximum number of monitoring interfaces equals to 550, refer to [RD26], par. 8.2.5."
16	SKA1-SYS_REQ-2173	SKA1 MID Telescope Manager shall be able to control and Monitor all Meerkat Receptors independently	Derived to L2	Yes	TM_REQ_141	"The TM shall provide the Sub-array Control Authority and Telescope Control Authority (with appropriate authorisation and authentication) with the ability to manually command the Telescope via a user interface.  The control commands available to the User shall be limited to those provided by the Telescope Elements over their respective interfaces.
 
Note: With this requirement the TM provides the User with the capability to manually control the constituent parts of the Telescope and Sub-arrays.
"
162	SKA1-SYS_REQ-2735	"The SKA1-Mid and SKA1-Low shall provide the capability for authorised personnel to take manual control of the telescope, its subarrays, components and instrumentation."	Derived to L2	Yes	TM_REQ_141	"The TM shall provide the Sub-array Control Authority and Telescope Control Authority (with appropriate authorisation and authentication) with the ability to manually command the Telescope via a user interface.  The control commands available to the User shall be limited to those provided by the Telescope Elements over their respective interfaces.
 
Note: With this requirement the TM provides the User with the capability to manually control the constituent parts of the Telescope and Sub-arrays.
"
193	SKA1-SYS_REQ-2801	"SKA1_Mid equipment, while in its storage packaging, shall withstand, and shall operate to specification as defined herein  after exposure to, the storage environmental conditions as defined in “Class 1.1: Weather protected, partly temperature-controlled storage locations” of the ETSI EN 300 019-1-1 standard  and defined in BS EN IEC 60721-3-1.


   Climatic Conditions 1K3 based on [AD7]

  Biological Conditions 1B2 based on [AD7]

  Chemical conditions 1C2 based on [AD7]

  Dust and Sand conditions 1S2 based on [AD7]

  Shock & Vibration Conditions 1M2 based on [AD7]"	Derived to L2	Yes	TM_REQ_146	"All packaged LRUs and SRUs of the TM shall not sustain any physical, functional and/or performance damage when stored in the following environmental conditions, as specified in “Class 1.1: Weather protected, partly temperature-controlled storage locations” of [RD16]."
86	SKA1-SYS_REQ-2444	"External conductive parts shall be grounded in compliance to:



South Africa:

National Building Regulations and Building Standards Act, 1977

Occupational Health and Safety act, 1993

SANS 10313



Australia:

AS/NZ 3000,

AS/NZ 1768"	Derived to L2	Partial	TM_REQ_147	All TM electrical equipment installed in South Africa shall adhere to SANS 10142-1 in terms of safe wiring and distribution of electricity.
85	SKA1-SYS_REQ-2438	Components and Equipment shall be designed to be locally fail-safe and not rely on external safety devices or measures to operate safely.	Derived to L2	Yes	TM_REQ_147	"All TM electrical equipment installed in South Africa shall adhere to SANS 10142-1 in terms of safe wiring and distribution of electricity.
"
88	SKA1-SYS_REQ-2446	"Electrical risks and hazards shall be controlled in accordance with local, State and national legislation and Codes of Practice.


 NOTE: In South Africa, SANS 10142-1 and SANS 10142-2 shall apply.


 NOTE: In Australia, in addition to legislation, the following Codes of Practice shall be applied:


 AS/NZ 3000


 Safe Work Australia 'Managing Electrical Risks at the Workplace';


 Western Australia Director of Energy Safety 'Safe Low Voltage Work Practices by Electricians'"	Derived to L2	Yes	TM_REQ_147	All TM electrical equipment installed in South Africa shall adhere to SANS 10142-1 in terms of safe wiring and distribution of electricity.
86	SKA1-SYS_REQ-2444	"External conductive parts shall be grounded in compliance to:



South Africa:

National Building Regulations and Building Standards Act, 1977

Occupational Health and Safety act, 1993

SANS 10313



Australia:

AS/NZ 3000,

AS/NZ 1768"	Derived to L2	Partial	TM_REQ_148	"All TM electrical equipment installed in Australia shall adhere to AS/NZS 3000 in terms of safe wiring and distribution of electricity.
"
85	SKA1-SYS_REQ-2438	Components and Equipment shall be designed to be locally fail-safe and not rely on external safety devices or measures to operate safely.	Derived to L2	Yes	TM_REQ_148	All TM electrical equipment installed in Australia shall adhere to AS/NZS 3000 in terms of safe wiring and distribution of electricity.
88	SKA1-SYS_REQ-2446	"Electrical risks and hazards shall be controlled in accordance with local, State and national legislation and Codes of Practice.


 NOTE: In South Africa, SANS 10142-1 and SANS 10142-2 shall apply.


 NOTE: In Australia, in addition to legislation, the following Codes of Practice shall be applied:


 AS/NZ 3000


 Safe Work Australia 'Managing Electrical Risks at the Workplace';


 Western Australia Director of Energy Safety 'Safe Low Voltage Work Practices by Electricians'"	Derived to L2	Yes	TM_REQ_148	"All TM electrical equipment installed in Australia shall adhere to AS/NZS 3000 in terms of safe wiring and distribution of electricity.
"
73	SKA1-SYS_REQ-2370	"Weather monitoring stations (2 in each core and 2 outside the core) shall be provided as part of the infrastructure of SKA1_Mid and SKA1_Low - wind, temperature and humidity."	Derived to L2	Yes	TM_REQ_149	"The SKA1_Mid TM shall receive wind speed and direction, temperature and humidity data from the MeerKAT Weather Sensor LMC (via the I.S1M.AIV_TM.0004 interface) and INFRA-SA (via the I.S1M.TM_INFRA-SA.003 interface).
"
75	SKA1-SYS_REQ-2372	Existing Tropospheric monitoring stations shall be expanded as part of the SKA1_Low and SKA1_Mid infrastructure to provide at least 3 sensor units per telescope array site	Derived to L2	Yes	TM_REQ_149	"The SKA1_Mid TM shall receive wind speed and direction, temperature and humidity data from the MeerKAT Weather Sensor LMC (via the I.S1M.AIV_TM.0004 interface) and INFRA-SA (via the I.S1M.TM_INFRA-SA.003 interface).
"
63	SKA1-SYS_REQ-2312	Latency from the time a measurement crosses an alarm set-point until the time it is signalled to the operator shall be no more than 1 second.	Derived to L2	Yes	TM_REQ_15	"The time latency between receiving information from an Element, and reporting the Alarm shall be 700 milliseconds.
"
139	SKA1-SYS_REQ-2647	"Tool for proposal submission.  There shall be a tool, either web or client, for the construction and submission of proposals, as necessary facilitating access to relevant sources of information such as Telescope characteristics, previous observations, SIMBAD, templates."	Derived to L2	Yes	TM_REQ_151	"The TM shall be able to acquire Celestial Coordinates of astronomical sources as per [RD23] via its I.S1L.TM_AD and I.S1M.TM_AD interface.
TMO_REQ_009
The TMO shall be able to acquire Celestial Coordinates of astronomical sources as per [RD23] via its I.S1.TMO_AD."
52	SKA1-SYS_REQ-2298	Proposals to search for transient sources shall include rules for issuing VOEvents.	Derived to L2	Yes	TM_REQ_152	"The TM shall receive VO Events via its S1L.TM_IVOA, S1M.TM_IVOA interface.
"
65	SKA1-SYS_REQ-2314	"The SKA1_Low and SKA1_Mid shall retrieve, store, and publish data on Total Electron Content (TEC) to an accuracy of 3 TECU*."	Derived to L2	Yes	TM_REQ_153	"The TM shall receive the ionospheric dispersion measure (TEC) via its I.S1L.TM_SADT.002 and I.S1M.TM_SADT.002 interface.
"
66	SKA1-SYS_REQ-2315	"The SKA1_Mid and SKA1_Low shall automatically retrieve and store space-weather and solar activity information from the Ionospheric Prediction Service, IPS, at the IPS update rate for use in calibration."	Derived to L2	Yes	TM_REQ_154	"The TM shall receive TBD75 information of ionospheric activity
via its I.S1L.TM_IPS, I.S1M.TM_IPS interface at intervals of < TBD75."
68	SKA1-SYS_REQ-2317	"SKA1_Mid and SKA1_Low shall maintain a database of relevant satellite trajectories, including orbital information, emission characteristics and owner."	Derived to L2	Yes	TM_REQ_155	"The TM shall automatically acquire satellite trajectories and orbit information via its S1L.TM_SIS, S1M.TM_SIS interface as per [RD49] at a daily interval.
"
69	SKA1-SYS_REQ-2318	SKA1_Low and SKA1_Mid shall maintain a data base of commercial flights in the neighbourhood of the site.	Derived to L2	Yes	TM_REQ_156	The TM shall receive ADS-B and Mode S positions of air traffic and flight tracking data of commercial aircraft via its S1L.TM_FIS and S1M.TM_FIS interface.
